16.39,11.34,27.35
16.5,11.35,27.65
16.6,11.35,27.42
16.67,11.35,27.34
16.7,11.32,27.26
16.78,11.32,27.32
16.82,11.33,27.42
16.92,11.35,27.6
17.01,11.35,27.21
17.12,11.35,27.16
17.19,11.33,27.22
17.18,11.31,27.21
17.25,11.34,27.1
17.34,11.35,27.19
17.44,11.36,27.26
17.52,11.37,27.06
17.5,11.34,27.45
17.51,11.35,27.43
17.56,11.37,27.38
17.62,11.39,27.48
17.66,11.46,27.4
17.67,11.51,27.45
17.66,11.55,27.47
17.61,11.56,27.38
17.65,11.58,27.37
17.66,11.63,27.15
17.7,11.69,27.33
17.72,11.74,27.42
17.71,11.74,27.24
17.72,11.76,27.71
17.71,11.82,27.47
17.73,11.88,27.27
17.75,12,27.5
17.74,12.1,27.38
17.76,12.18,27.29
17.78,12.22,27.15
17.79,12.28,27.56
17.76,12.31,27.48
17.74,12.34,27.34
17.74,12.42,27.34
17.76,12.49,27.44
17.76,12.54,27.48
17.69,12.54,27.5
17.65,12.58,27.51
17.63,12.64,27.5
17.66,12.71,27.57
17.71,12.78,27.36
17.74,12.83,27.41
17.71,12.86,27.69
17.62,12.82,27.31
17.67,12.91,27.4
17.69,12.97,27.54
17.7,13.02,27.43
17.7,13.05,27.39
17.66,13.05,27.45
17.66,13.09,27.49
17.7,13.15,27.74
17.73,13.22,27.49
17.76,13.27,27.54
17.73,13.32,27.4
17.73,13.35,27.24
17.74,13.37,27.49
17.74,13.46,27.23
17.77,13.58,27.54
17.79,13.67,27.35
17.8,13.74,27.44
17.8,13.81,27.4
17.78,13.86,27.48
17.78,13.93,27.57
17.77,13.98,27.43
17.79,14.05,27.38
17.8,14.1,27.25
17.82,14.18,27.37
17.81,14.21,27.66
17.8,14.25,27.42
17.76,14.29,27.22
17.76,14.33,27.59
17.75,14.41,27.6
17.78,14.47,27.61
17.78,14.54,27.51
17.74,14.55,27.43
17.64,14.54,27.37
17.68,14.6,27.55
17.72,14.67,27.49
17.75,14.73,27.35
17.75,14.78,27.53
17.7,14.79,27.54
17.55,14.78,27.47
17.61,14.85,27.41
17.66,14.93,27.48
17.71,14.98,27.38
17.71,15.01,27.73
17.72,15.07,27.57
17.7,15.15,27.41
17.72,15.21,27.44
17.73,15.27,27.38
17.73,15.33,27.59
17.69,15.37,27.43
17.63,15.34,27.84
17.67,15.48,27.51
17.67,15.59,27.63
17.71,15.7,27.2
17.7,15.81,27.65
17.69,15.87,27.34
17.71,15.94,27.66
17.73,16.05,27.36
17.7,16.1,27.21
17.66,16.11,27.28
17.65,16.11,27.26
17.69,16.13,27.11
17.7,16.26,27.15
17.7,16.34,27.47
17.67,16.29,27.59
17.67,16.37,27.42
17.71,16.39,27.29
17.72,16.49,27.5
17.75,16.52,27.34
17.7,16.54,27.56
17.71,16.62,27.23
17.73,16.61,27.7
17.77,16.64,27.53
17.77,16.74,27.55
17.79,16.78,27.68
17.76,16.84,27.53
17.68,16.81,27.4
17.69,16.9,27.23
17.7,17.01,27.63
17.75,17.11,27.52
17.73,17.12,27.67
17.64,17.07,27.32
17.64,17.1,27.42
17.68,17.16,27.44
17.7,17.26,27.18
17.7,17.37,27.41
17.71,17.35,27.68
17.69,17.37,27.37
17.69,17.38,27.5
17.72,17.5,27.83
17.72,17.52,27.43
17.75,17.61,27.7
17.72,17.61,27.25
17.7,17.62,27.15
17.71,17.63,27.27
17.7,17.72,27.48
17.71,17.74,27.33
17.73,17.76,27.4
17.73,17.88,27.44
17.76,17.99,27.63
17.77,17.96,27.49
17.76,18.04,27.59
17.74,18.13,27.34
17.77,18.3,27.22
17.8,18.41,27.66
17.78,18.54,27.52
17.73,18.63,27.48
17.69,18.68,27.54
17.68,18.75,27.51
17.7,18.79,27.47
17.73,18.88,27.72
17.73,18.99,27.35
17.68,19,27.58
17.63,18.93,27.37
17.6,19.01,27.62
17.65,19.12,27.44
17.67,19.17,27.34
17.71,19.26,27.81
17.64,19.23,27.38
17.65,19.26,27.38
17.66,19.4,27.55
17.69,19.52,27.49
17.72,19.62,27.05
17.72,19.59,27.63
17.72,19.62,27.54
17.69,19.63,27.31
17.68,19.69,27.39
17.69,19.7,27.54
17.7,19.82,27.53
17.72,19.82,27.56
17.71,19.93,27.51
17.7,19.94,27.46
17.71,19.93,27.34
17.72,19.95,27.59
